match_id,game_duration,queue,game_mode,surrendered,team_100_wins,gold_diff_1,gold_diff_2,gold_diff_3,gold_diff_4,gold_diff_5,gold_diff_6,gold_diff_7,gold_diff_8,gold_diff_9,gold_diff_10,gold_diff_11,gold_diff_12,gold_diff_13,gold_diff_14,gold_diff_15,first_blood,first_tower,first_dragon,first_herald,towers_taken,dragons_taken,heralds_taken,barons_taken,inhibitors_taken,objectives_count,gold_lead_early,gold_lead_mid,gold_lead_late,objective_advantage
",NA1_5304977315",1841,",420",",CLASSIC",0,0,-5,52,-362,-275,-635,-588,-23,-125,-725,-694,88,230,351,-879,-1469,0,0,-1,0,0,-1,0,0,0,3,-635,-59,-775,-3
",NA1_5304979963",1778,",420",",CLASSIC",0,0,0,-123,-248,-297,-306,-1422,-1076,-1346,-1319,-1356,-2366,-3078,-1874,-2495,-2999,0,0,-1,0,0,-3,0,0,0,6,-306,-1050,-1643,-9
",NA1_5304993905",1782,",420",",CLASSIC",0,0,0,169,-451,-654,-540,-330,-481,-822,-191,-374,-2252,-2681,-1707,-1064,-2178,0,0,-1,0,0,-3,0,0,0,4,-540,166,-1804,-9
",NA1_5305008114",512,",420",",CLASSIC",0,1,0,-34,177,197,125,488,630,2426,3197,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,2,125,-125,0,-3
",NA1_5305018782",3002,",420",",CLASSIC",0,0,-5,-22,-91,-210,-575,-533,-739,-888,-997,-952,-890,-1661,-1424,-1458,845,0,0,-1,0,0,-3,0,0,0,4,-575,-377,1797,-9
",NA1_5305025329",960,",420",",CLASSIC",0,1,0,-28,-107,-946,-652,-392,487,896,1225,1551,1872,2910,3005,4583,4679,0,0,-1,0,0,-1,0,0,0,5,-652,2203,3128,-3
",NA1_5305062926",1524,",420",",CLASSIC",0,0,0,40,-44,890,1569,1244,44,92,-216,231,371,-212,604,-778,-304,0,0,-1,0,0,-3,0,0,0,6,1569,-1338,-535,-9
",NA1_5305195798",1544,",420",",CLASSIC",0,1,0,-71,-809,-748,-306,-509,258,-163,-675,-875,-617,-877,-1033,-414,2069,0,0,-1,0,0,-3,0,0,0,5,-306,-569,2944,-9
",NA1_5305208887",943,",420",",CLASSIC",0,0,0,-19,-124,-945,-2871,-3133,-3727,-4968,-5211,-5607,-6210,-7754,-8238,-9395,-10722,0,0,-1,0,0,-1,0,0,0,6,-2871,-2736,-5115,-3
",NA1_5305295911",1568,",420",",CLASSIC",0,1,0,-38,453,81,775,263,-43,177,964,565,1180,1410,2342,4045,4133,0,0,-1,0,0,-3,0,0,0,6,775,-210,3568,-9
",NA1_5305310414",1615,",420",",CLASSIC",0,1,0,-11,-337,-328,-109,226,-205,-99,-323,45,815,1076,2876,4357,4725,0,0,-1,0,0,-3,0,0,0,4,-109,154,4680,-9
",NA1_5305335783",2050,",420",",CLASSIC",0,0,0,21,111,703,751,-278,262,441,-89,-280,-1008,-1173,-1826,-1862,-3247,0,0,-1,0,0,-3,0,0,0,5,751,-1031,-2967,-9
